Fall,Term Code,College,Dept.,Degree,Major Code,Major Name,Conc. Code,Conc. Name,Total,Male,Female,Unknown,Academic Program Code
2015,120158 ,KP ,227 ,BS ,5163 ,Agricultural & Biological Engr ,5270 ,Agricultural Engineering ,17,14,3,0,10KP5163BS
2015,120158 ,KP ,227 ,BS ,5163 ,Agricultural & Biological Engr ,5271 ,Biological Engineering ,15,11,4,0,10KP5163BS
2015,120158 ,KP ,227 ,MENGR ,1211 ,Engineering ,5370 ,Energy Systems ,20,14,6,0,10KS5370MENG
2015,120158 ,KP ,227 ,BS ,5163 ,Agricultural & Biological Engr ,  ,  ,31,22,9,0,10KP5163BS
2015,120158 ,KP ,227 ,MS ,5163 ,Agricultural & Biological Engr ,  ,  ,29,20,9,0,10KS5163MS
2015,120158 ,KP ,227 ,PHD ,5163 ,Agricultural & Biological Engr ,  ,  ,34,21,13,0,10KS5163PHD
2015,120158 ,KP ,227 ,NDEG ,0067 ,Nondegree ,  ,  ,218,172,46,0,10KP0067NDEG
2015,120158 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,5469 ,Info Technology and Control ,1,1,0,0,10KS9875MBA
2015,120158 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,4064 ,MBA ,104,71,33,0,10KS4064MBA
2015,120158 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,  ,  ,154,112,42,0,10KS9875MBA
2015,120158 ,KT ,238 ,PHD ,0279 ,Communications ,  ,  ,6,2,4,0,10KS0279PHD
2015,120158 ,KT ,238 ,PHD ,5202 ,Communications and Media ,  ,  ,40,13,27,0,10KS5202PHD
2015,120158 ,KV ,241 ,BALAS ,0340 ,Anthropology ,5043 ,Socioculturl & Linguistic Anth ,3,2,1,0,10KV5043BALA
2015,120158 ,KV ,241 ,BALAS ,0340 ,Anthropology ,  ,  ,7,1,6,0,10KV8037BALA
2015,120158 ,KV ,241 ,BSLAS ,5348 ,Computer Sci & Anthropology ,  ,  ,1,0,1,0,10KV8037BSLA
2015,120158 ,KV ,241 ,BSLAS ,5348 ,Computer Sci & Anthropology ,  ,  ,10,8,2,0,10KV5348BSLA
2015,120158 ,KV ,241 ,BALAS ,0340 ,Anthropology ,  ,  ,75,24,51,0,10KV0340BALA
2015,120158 ,KV ,241 ,PHD ,0340 ,Anthropology ,  ,  ,61,16,45,0,10KS0340PHD
2015,120158 ,KP ,244 ,MS ,0240 ,Physics ,  ,  ,3,3,0,0,10KS0240MS
2015,120158 ,KP ,244 ,BS ,0121 ,Engineering Physics ,  ,  ,248,218,30,0,10KP0121BS
2015,120158 ,KP ,244 ,PHD ,0240 ,Physics ,  ,  ,258,200,58,0,10KS0240PHD
2015,120158 ,KP ,251 ,PHD ,0232 ,Environ Science in Civil Engr ,  ,  ,1,0,1,0,10KS0232PHD
2015,120158 ,KP ,251 ,MS ,0106 ,Civil Engineering ,  ,  ,2,2,0,0,10KS0106MSU
2015,120158 ,KP ,251 ,PHD ,0231 ,Environ Engr in Civil Engr ,  ,  ,45,23,22,0,10KS0231PHD
2015,120158 ,KP ,251 ,MS ,0231 ,Environ Engr in Civil Engr ,  ,  ,55,23,32,0,10KS0231MS
2015,120158 ,KP ,251 ,PHD ,0106 ,Civil Engineering ,  ,  ,190,148,42,0,10KS0106PHD
2015,120158 ,KP ,251 ,BS ,0106 ,Civil Engineering ,  ,  ,730,536,194,0,10KP0106BS
2015,120158 ,KP ,251 ,MS ,0106 ,Civil Engineering ,  ,  ,397,290,107,0,10KS0106MS
2015,120158 ,KV ,253 ,BSLAS ,0334 ,Atmospheric Sciences ,  ,  ,3,2,1,0,10KV8037BSLA
2015,120158 ,KV ,253 ,BSLAS ,0334 ,Atmospheric Sciences ,  ,  ,62,34,28,0,10KV0334BSLA
2015,120158 ,KV ,253 ,MS ,0334 ,Atmospheric Sciences ,  ,  ,19,17,2,0,10KS0334MS
2015,120158 ,KV ,253 ,PHD ,0334 ,Atmospheric Sciences ,  ,  ,27,12,15,0,10KS0334PHD
2015,120158 ,KV ,257 ,BSLAS ,0439 ,Mathematics ,3897 ,Mathematics Teaching Option ,1,1,0,0,10KV8037BSLA
2015,120158 ,KV ,257 ,BSLAS ,0439 ,Mathematics ,3894 ,Operations Research ,3,2,1,0,10KV8037BSLA
2015,120158 ,KV ,257 ,BSLAS ,0439 ,Mathematics ,3896 ,Graduate Preparation ,1,1,0,0,10KV3896BSLA
2015,120158 ,KV ,257 ,BSLAS ,0439 ,Mathematics ,3897 ,Mathematics Teaching Option ,38,15,23,0,10KV3897BSLA
2015,120158 ,KV ,257 ,MS ,0290 ,Teaching of Mathematics ,  ,  ,1,1,0,0,10KS0290MS
2015,120158 ,KV ,257 ,BSLAS ,0439 ,Mathematics ,3894 ,Operations Research ,5,5,0,0,10KV3894BSLA
2015,120158 ,KV ,257 ,BSLAS ,1438 ,Math & Computer Science ,  ,  ,9,6,3,0,10KV8037BSLA
2015,120158 ,KV ,257 ,MS ,0327 ,Applied Mathematics ,  ,  ,9,6,3,0,10KS0327MS
2015,120158 ,KV ,257 ,BSLAS ,0439 ,Mathematics ,3895 ,Applied Mathematics ,17,9,8,0,10KV8037BSLA
2015,120158 ,KV ,257 ,BSLAS ,0439 ,Mathematics ,3895 ,Applied Mathematics ,20,16,4,0,10KV3895BSLA
2015,120158 ,KV ,257 ,MS ,0439 ,Mathematics ,  ,  ,19,12,7,0,10KS0439MS
2015,120158 ,KV ,257 ,BSLAS ,0439 ,Mathematics ,  ,  ,32,24,8,0,10KV0439BSLA
2015,120158 ,KV ,257 ,MS ,0327 ,Applied Mathematics ,0328 ,Actuarial Science ,27,14,13,0,10KS0328MS
2015,120158 ,KV ,257 ,BSLAS ,0439 ,Mathematics ,  ,  ,36,17,19,0,10KV8037BSLA
2015,120158 ,KV ,257 ,BSLAS ,0461 ,Actuarial Science ,  ,  ,49,20,29,0,10KV8037BSLA
2015,120158 ,KV ,257 ,BSLAS ,0461 ,Actuarial Science ,  ,  ,340,204,135,1,10KV0461BSLA
2015,120158 ,KV ,257 ,BSLAS ,1438 ,Math & Computer Science ,  ,  ,254,210,44,0,10KV1438BSLA
2015,120158 ,KV ,257 ,PHD ,0439 ,Mathematics ,  ,  ,162,98,64,0,10KS0439PHD
2015,120158 ,KV ,257 ,NONE ,0439 ,Mathematics ,  ,  ,425,265,160,0,10KV0439NONE
2015,120158 ,KM ,260 ,MS ,0075 ,Finance ,  ,  ,1,1,0,0,10KS0075MS
2015,120158 ,KM ,260 ,PHD ,0075 ,Finance ,  ,  ,18,13,5,0,10KS0075PHD
2015,120158 ,KM ,260 ,BS ,0075 ,Finance ,  ,  ,550,382,168,0,10KM0075BS
2015,120158 ,KM ,260 ,MS ,0075 ,Finance ,  ,  ,136,59,77,0,10KS0075MSK
2015,120158 ,KV ,265 ,BSLAS ,5313 ,"Earth, Soc, Env Sustainability ",  ,  ,1,0,1,0,10KV8037BSLA
2015,120158 ,KV ,265 ,BSLAS ,5313 ,"Earth, Soc, Env Sustainability ",5104 ,Science of the Earth System ,8,3,5,0,10KV8037BSLA
2015,120158 ,KV ,265 ,BSLAS ,5313 ,"Earth, Soc, Env Sustainability ",5103 ,Society and the Environment ,10,3,7,0,10KV8037BSLA
2015,120158 ,KV ,265 ,BSLAS ,5313 ,"Earth, Soc, Env Sustainability ",5103 ,Society and the Environment ,11,5,6,0,10KV5313BSLU
2015,120158 ,KV ,265 ,BSLAS ,5313 ,"Earth, Soc, Env Sustainability ",5104 ,Science of the Earth System ,4,3,1,0,10KV5313BSLU
2015,120158 ,KV ,265 ,BSLAS ,5313 ,"Earth, Soc, Env Sustainability ",5104 ,Science of the Earth System ,15,6,9,0,10KV5313BSLA
2015,120158 ,KV ,265 ,BSLAS ,5313 ,"Earth, Soc, Env Sustainability ",  ,  ,15,6,9,0,10KV5313BSLU
2015,120158 ,KV ,265 ,BSLAS ,5313 ,"Earth, Soc, Env Sustainability ",5103 ,Society and the Environment ,44,23,21,0,10KV5313BSLA
2015,120158 ,KV ,265 ,BSLAS ,5313 ,"Earth, Soc, Env Sustainability ",  ,  ,44,21,23,0,10KV5313BSLA
2015,120158 ,LC ,282 ,PHD ,5216 ,VMS - Pathobiology ,5222 ,Pathobiology Research Scholars ,1,0,1,0,10KS5216PHD
2015,120158 ,LC ,282 ,PHD ,0361 ,VMS - Veterinary Pathobiology ,  ,  ,1,1,0,0,10KS0361PHD
2015,120158 ,LC ,282 ,MS ,5216 ,VMS - Pathobiology ,  ,  ,10,4,6,0,10KS5216MS
2015,120158 ,LC ,282 ,PHD ,5216 ,VMS - Pathobiology ,  ,  ,10,8,2,0,10KS5216PHD
2015,120158 ,KY ,294 ,BS ,5204 ,Health ,  ,  ,1,0,1,0,10KY5204BS
2015,120158 ,KY ,294 ,BS ,5204 ,Health ,5220 ,Health Behavior Change ,3,1,2,0,10KY5204BS
